Plant ID;Genotype ID;Days to budding;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue
ARG0212;ARG0212;139;33,88723242;3,393209572;40,08542301;11,81342388;327,3024;5106,1824;60,4512;70,6128;112,2672;116,0784;123,1704;1,744306981;1,6439;1,8571;1,6289;0,0885;0,1792;0,3581;0,3944;0,6858;0,6096;0,6898;0,8797;1,3495;0,4317;227,436;0,426282559;0,312646195;0,261071246
ARG0213;ARG0213;139;35,8812101;3,968443787;41,83240541;10,54126193;679,6992;22339,584;152,9088;177,7992;178,0536;200,9136;220,8216;1,241971842;1,13;1,1645;1,4;0,111;0,1153;0,3674;0,4843;0,6744;0,6684;0,9088;0,8328;1,0602;0,4036;199,162;0,431693797;0,302366917;0,265939286
ARG0214;ARG0214;139;40,22711978;3,826498561;41,02375587;10,72096467;385,0728;6886,368;65,7864;86,6136;128,016;132,0792;137,3712;1,586023442;1,5249;1,9459;1,9109;0,1051;0,1791;0,3343;0,444;0,6837;0,7476;0,87;0,8661;1,6581;0,3319;211,858;0,417737352;0,305312993;0,276949655
ARG0215;ARG0215;139;45,6798441;3,721347294;39,82085207;10,70065461;332,8512;4725,5616;49,2768;64,7712;119,6352;120,6504;127,0656;1,961760783;1,8627;2,4278;2,5522;0,1003;0,23;0,3502;0,4094;0,6876;0,5612;0,6318;0,8608;1,5287;0,5037;215,347;0,440684105;0,309909123;0,249406771
ARG0216;ARG0216;128;26,89779397;3,558207296;41,80543485;11,74901611;400,2792;7655,1552;73,152;87,6312;131,5728;141,9864;154,0104;1,757483636;1,6203;1,7986;2,0078;0,1024;0,1917;0,3424;0,5118;0,7252;0,6523;0,7896;0,8856;1,5424;0,4314;226,547;0,417873554;0,311851404;0,270275042
ARG0217;ARG0217;139;39,86946494;4,129703376;43,4042832;10,51026654;486,8688;9957,5424;80,772;105,4104;143,256;160,5288;173,5056;1,646000774;1,5229;1,7736;2,0826;0,1181;0,1941;0,3162;0,471;0,6634;0,4913;0,5762;0,8289;1,0544;0,5362;200,457;0,447537377;0,313473713;0,23898891
ARG0218;ARG0218;128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ARG0219;ARG0219;NA;28,81290457;3,170468506;41,98003604;13,24095665;408,1992;7947,936;78,9936;98,2968;119,3808;132,3336;134,1624;1,364870474;1,3463;1,5113;1,6252;0,1058;0,1368;0,334;0,4523;0,6714;0,7077;0,8783;0,8638;1,3529;0,3619;243,64;0,399043671;0,316343786;0,284612543
ARG0220;ARG0220;139;33,16108704;3,150183509;40,47957822;12,84991116;540,2568;14549,0688;107,1888;134,6208;165,3552;176,0208;180,2688;1,339085788;1,3075;1,5427;1,6702;0,1175;0,1441;0,3539;0,5493;0,7328;0,7514;0,8784;0,8889;1,5385;0,3879;218,766;0,40755419;0,308457439;0,283988371
ARG0221;ARG0221;110;31,85228849;3,306052264;41,43648138;12,53352279;338,4672;5291,2512;59,9448;74,676;109,2192;117,8568;119,7576;1,603695967;1,5782;1,822;1,9189;0,1148;0,1852;0,3457;0,4607;0,677;0,7732;0,9133;0,9251;1,8081;0,3212;220,94;0,429315651;0,311509912;0,259174436
ARG0222;ARG0222;124;60,41332378;4,434681479;43,17816295;9,736474459;309,3936;4857,8112;60,4512;72,6432;102,6168;109,4736;109,8672;1,51242236;1,507;1,6975;1,6147;0,0967;0,1586;0,3527;0,4583;0,7005;0,6698;0,8067;0,8889;1,4845;0,4172;210,128;0,435715373;0,31087718;0,253407447
ARG0223;ARG0223;122;28,88278754;3,53444223;40,93438443;11,5815684;424,4832;8331,552;80,0112;96,7752;135,1272;143,256;137,8512;1,424447586;1,4803;1,6889;1,7239;0,1083;0,1619;0,3289;0,4297;0,6617;0,7318;0,9342;0,8425;1,482;0,3034;218,562;0,418572304;0,313544898;0,267882798
ARG0224;ARG0224;121;29,56865079;2,895795559;40,01816709;13,81940343;295,3368;4291,9488;47,7528;58,9272;104,1408;109,2192;113,3112;1,922901478;1,8534;2,1809;2,2877;0,0935;0,2195;0,3878;0,5077;0,6966;0,7552;0,8975;0,8804;2,025;0,388;241,818;0,412847679;0,316415651;0,27073667
ARG0225;ARG0225N;115;35,28290469;3,394;42,424;12,49946699;287,8248;4030,0416;49,7832;64,008;96,2664;98,0448;106,0536;1,65688039;1,5317;1,9337;2,0568;0,1053;0,1773;0,3664;0;0,2738;0,6234;0,8856;0,6877;1,6216;0,5534;235,187;0,418611573;0,306896215;0,274492213
