ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
ARG0041,nan,ARG0041_leafbottom,ARG0041_leaftop,ARG0041_plantside,ARG0041_planttop,ARG0041_primarybranch,nan,ARG0041_leafstrip
ARG0042,nan,ARG0042_leafbottom,nan,ARG0042_plantside,ARG0042_planttop,ARG0042_primarybranch,nan,ARG0042_leafstrip
ARG0043,nan,ARG0043_leafbottom,nan,ARG0043_plantside,ARG0043_planttop,ARG0043_primarybranch,nan,ARG0043_leafstrip
ARG0044,nan,ARG0044_leafbottom,ARG0044_leaftop,ARG0044_plantside,ARG0044_planttop,ARG0044_primarybranch,nan,ARG0044_leafstrip
ARG0045,nan,ARG0045_leafbottom,ARG0045_leaftop,ARG0045_plantside,ARG0045_planttop,ARG0045_primarybranch,nan,ARG0045_leafstrip
ARG0046,nan,ARG0046_leafbottom,ARG0046_leaftop,ARG0046_plantside,ARG0046_planttop,ARG0046_primarybranch,nan,ARG0046_leafstrip
ARG0047,nan,ARG0047_leafbottom,ARG0047_leaftop,ARG0047_plantside,ARG0047_planttop,nan,nan,ARG0047_leafstrip
ARG0048,nan,ARG0048_leafbottom,ARG0048_leaftop,ARG0048_plantside,ARG0048_planttop,ARG0048_primarybranch,nan,ARG0048_leafstrip
ARG0049,nan,ARG0049_leafbottom,ARG0049_leaftop,ARG0049_plantside,ARG0049_planttop,ARG0049_primarybranch,nan,ARG0049_leafstrip
ARG0050,nan,ARG0050_leafbottom,ARG0050_leaftop,ARG0050_plantside,ARG0050_planttop,ARG0050_primarybranch,nan,ARG0050_leafstrip
ARG0051,nan,ARG0051_leafbottom,ARG0051_leaftop,ARG0051_plantside,ARG0051_planttop,ARG0051_primarybranch,nan,ARG0051_leafstrip
ARG0052,nan,ARG0052_leafbottom,ARG0052_leaftop,ARG0052_plantside,ARG0052_planttop,ARG0052_primarybranch,nan,ARG0052_leafstrip
ARG0053,nan,ARG0053_leafbottom,ARG0053_leaftop,ARG0053_plantside,ARG0053_planttop,ARG0053_primarybranch,nan,ARG0053_leafstrip
ARG0054,nan,ARG0054_leafbottom,ARG0054_leaftop,ARG0054_plantside,ARG0054_planttop,ARG0054_primarybranch,nan,ARG0054_leafstrip
ARG0055,nan,ARG0055_leafbottom,ARG0055_leaftop,ARG0055_plantside,ARG0055_planttop,ARG0055_primarybranch,nan,ARG0055_leafstrip
ARG0056,nan,ARG0056_leafbottom,ARG0056_leaftop,ARG0056_plantside,ARG0056_planttop,ARG0056_primarybranch,nan,ARG0056_leafstrip
ARG0057,nan,ARG0057_leafbottom,ARG0057_leaftop,ARG0057_plantside,ARG0057_planttop,ARG0057_primarybranch,nan,ARG0057_leafstrip
ARG0058,nan,ARG0058_leafbottom,ARG0058_leaftop,ARG0058_plantside,ARG0058_planttop,ARG0058_primarybranch,nan,ARG0058_leafstrip
ARG0059,nan,ARG0059_leafbottom,ARG0059_leaftop,ARG0059_plantside,ARG0059_planttop,ARG0059_primarybranch,nan,ARG0059_leafstrip
ARG0060,nan,nan,nan,ARG0060_plantside,ARG0060_planttop,ARG0060_primarybranch,nan,nan
ARG0061,nan,ARG0061_leafbottom,ARG0061_leaftop,ARG0061_plantside,ARG0061_planttop,ARG0061_primarybranch,nan,ARG0061_leafstrip
ARG0062,nan,ARG0062_leafbottom,ARG0062_leaftop,ARG0062_plantside,ARG0062_planttop,ARG0062_primarybranch,nan,ARG0062_leafstrip
ARG0063,nan,ARG0063_leafbottom,ARG0063_leaftop,ARG0063_plantside,ARG0063_planttop,ARG0063_primarybranch,nan,ARG0063_leafstrip
ARG0064,nan,ARG0064_leafbottom,ARG0064_leaftop,ARG0064_plantside,ARG0064_planttop,ARG0064_primarybranch,nan,ARG0064_leafstrip
ARG0065,nan,ARG0065_leafbottom,ARG0065_leaftop,ARG0065_plantside,ARG0065_planttop,ARG0065_primarybranch,nan,ARG0065_leafstrip
ARG0066,nan,ARG0066_leafbottom,ARG0066_leaftop,ARG0066_plantside,ARG0066_planttop,ARG0066_primarybranch,nan,ARG0066_leafstrip
ARG0067,nan,ARG0067_leafbottom,ARG0067_leaftop,ARG0067_plantside,ARG0067_planttop,ARG0067_primarybranch,nan,ARG0067_leafstrip
ARG0068,nan,ARG0068_leafbottom,ARG0068_leaftop,ARG0068_plantside,ARG0068_planttop,ARG0068_primarybranch,nan,ARG0068_leafstrip
ARG0069,nan,ARG0069_leafbottom,ARG0069_leaftop,ARG0069_plantside,ARG0069_planttop,ARG0069_primarybranch,nan,ARG0069_leafstrip
ARG0070,nan,ARG0070_leafbottom,ARG0070_leaftop,ARG0070_plantside,ARG0070_planttop,ARG0070_primarybranch,nan,ARG0070_leafstrip
ARG0071,nan,ARG0071_leafbottom,ARG0071_leaftop,ARG0071_plantside,ARG0071_planttop,ARG0071_primarybranch,nan,ARG0071_leafstrip
ARG0072,nan,ARG0072_leafbottom,ARG0072_leaftop,ARG0072_plantside,ARG0072_planttop,ARG0072_primarybranch,nan,ARG0072_leafstrip
ARG0073,nan,ARG0073_leafbottom,ARG0073_leaftop,ARG0073_plantside,ARG0073_planttop,ARG0073_primarybranch,nan,ARG0073_leafstrip
ARG0074,nan,ARG0074_leafbottom,ARG0074_leaftop,ARG0074_plantside,ARG0074_planttop,ARG0074_primarybranch,nan,ARG0074_leafstrip
ARG0075,nan,ARG0075_leafbottom,ARG0075_leaftop,ARG0075_plantside,ARG0075_planttop,ARG0075_primarybranch,nan,ARG0075_leafstrip
ARG0076,nan,ARG0076_leafbottom,ARG0076_leaftop,ARG0076_plantside,ARG0076_planttop,ARG0076_primarybranch,nan,ARG0076_leafstrip
ARG0077,nan,ARG0077_leafbottom,ARG0077_leaftop,ARG0077_plantside,ARG0077_planttop,ARG0077_primarybranch,nan,ARG0077_leafstrip
ARG0078,nan,ARG0078_leafbottom,ARG0078_leaftop,ARG0078_plantside,ARG0078_planttop,ARG0078_primarybranch,nan,ARG0078_leafstrip
ARG0079,nan,ARG0079_leafbottom,ARG0079_leaftop,ARG0079_plantside,ARG0079_planttop,ARG0079_primarybranch,nan,ARG0079_leafstrip
ARG0080,nan,ARG0080_leafbottom,ARG0080_leaftop,ARG0080_plantside,ARG0080_planttop,ARG0080_primarybranch,nan,ARG0080_leafstrip
ARG0081,ARG0081_flower,ARG0081_leafbottom,ARG0081_leaftop,ARG0081_plantside,ARG0081_planttop,ARG0081_primarybranch,nan,ARG0081_leafstrip
ARG0082,nan,ARG0082_leafbottom,ARG0082_leaftop,ARG0082_plantside,ARG0082_planttop,ARG0082_primarybranch,nan,ARG0082_leafstrip
ARG0083,nan,nan,nan,ARG0083_plantside,ARG0083_planttop,ARG0083_primarybranch,nan,nan
ARG0084,nan,ARG0084_leafbottom,ARG0084_leaftop,ARG0084_plantside,ARG0084_planttop,ARG0084_primarybranch,nan,ARG0084_leafstrip
ARG0085,nan,ARG0085_leafbottom,ARG0085_leaftop,ARG0085_plantside,ARG0085_planttop,ARG0085_primarybranch,nan,ARG0085_leafstrip
ARG0086,nan,ARG0086_leafbottom,ARG0086_leaftop,ARG0086_plantside,ARG0086_planttop,ARG0086_primarybranch,nan,ARG0086_leafstrip
ARG0087,nan,ARG0087_leafbottom,ARG0087_leaftop,ARG0087_plantside,ARG0087_planttop,ARG0087_primarybranch,nan,ARG0087_leafstrip
ARG0088,nan,ARG0088_leafbottom,ARG0088_leaftop,ARG0088_plantside,ARG0088_planttop,ARG0088_primarybranch,nan,ARG0088_leafstrip
