ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
PET0372,PET0372_flower,PET0372_leafbottom,PET0372_leaftop,nan,PET0372_planttop,nan,PET0372_seed,PET0372_leafstrip
PET0373,PET0373_flower,PET0373_leafbottom,PET0373_leaftop,nan,PET0373_planttop,nan,PET0373_seed,PET0373_leafstrip
PET0374,PET0374_flower,PET0374_leafbottom,PET0374_leaftop,nan,PET0374_planttop,nan,PET0374_seed,PET0374_leafstrip
PET0375,PET0375_flower,PET0375_leafbottom,PET0375_leaftop,nan,PET0375_planttop,nan,nan,PET0375_leafstrip
PET0376,PET0376_flower,PET0376_leafbottom,PET0376_leaftop,nan,PET0376_planttop,nan,nan,PET0376_leafstrip
PET0377,PET0377_flower,PET0377_leafbottom,PET0377_leaftop,nan,PET0377_planttop,PET0377_primarybranch,nan,PET0377_leafstrip
PET0378,PET0378_flower,PET0378_leafbottom,PET0378_leaftop,nan,PET0378_planttop,nan,nan,PET0378_leafstrip
PET0379,PET0379_flower,PET0379_leafbottom,PET0379_leaftop,nan,PET0379_planttop,nan,PET0379_seed,PET0379_leafstrip
PET0380,PET0380_flower,PET0380_leafbottom,PET0380_leaftop,nan,PET0380_planttop,nan,PET0380_seed,PET0380_leafstrip
PET0381,PET0381_flower,PET0381_leafbottom,PET0381_leaftop,nan,PET0381_planttop,PET0381_primarybranch,PET0381_seed,PET0381_leafstrip
PET0382,PET0382_flower,PET0382_leafbottom,PET0382_leaftop,nan,PET0382_planttop,PET0382_primarybranch,PET0382_seed,PET0382_leafstrip
PET0383,nan,nan,nan,nan,nan,nan,nan,nan
PET0384,PET0384_flower,PET0384_leafbottom,PET0384_leaftop,nan,PET0384_planttop,PET0384_primarybranch,nan,PET0384_leafstrip
PET0385,PET0385_flower,PET0385_leafbottom,PET0385_leaftop,nan,PET0385_planttop,nan,PET0385_seed,PET0385_leafstrip
PET0386,PET0386_flower,PET0386_leafbottom,PET0386_leaftop,nan,PET0386_planttop,nan,PET0386_seed,PET0386_leafstrip
PET0387,PET0387_flower,PET0387_leafbottom,PET0387_leaftop,nan,PET0387_planttop,PET0387_primarybranch,PET0387_seed,PET0387_leafstrip
PET0388,PET0388_flower,PET0388_leafbottom,PET0388_leaftop,nan,PET0388_planttop,PET0388_primarybranch,PET0388_seed,PET0388_leafstrip
PET0389,PET0389_flower,nan,nan,nan,PET0389_planttop,PET0389_primarybranch,PET0389_seed,nan
PET0390,PET0390_flower,PET0390_leafbottom,PET0390_leaftop,nan,PET0390_planttop,PET0390_primarybranch,PET0390_seed,PET0390_leafstrip
PET0391,PET0391_flower,PET0391_leafbottom,PET0391_leaftop,nan,PET0391_planttop,PET0391_primarybranch,PET0391_seed,PET0391_leafstrip
PET0392,PET0392_flower,PET0392_leafbottom,PET0392_leaftop,nan,PET0392_planttop,nan,PET0392_seed,PET0392_leafstrip
PET0393,PET0393_flower,PET0393_leafbottom,PET0393_leaftop,nan,PET0393_planttop,PET0393_primarybranch,nan,PET0393_leafstrip
PET0394,PET0394_flower,PET0394_leafbottom,PET0394_leaftop,nan,PET0394_planttop,PET0394_primarybranch,nan,PET0394_leafstrip
PET0395,PET0395_flower,PET0395_leafbottom,PET0395_leaftop,nan,PET0395_planttop,nan,PET0395_seed,PET0395_leafstrip
PET0396,PET0396_flower,PET0396_leafbottom,PET0396_leaftop,nan,PET0396_planttop,nan,PET0396_seed,PET0396_leafstrip
PET0397,PET0397_flower,PET0397_leafbottom,PET0397_leaftop,nan,PET0397_planttop,nan,PET0397_seed,PET0397_leafstrip
PET0398,nan,nan,nan,nan,nan,nan,nan,nan
PET0399,nan,PET0399_leafbottom,PET0399_leaftop,nan,nan,nan,nan,PET0399_leafstrip
PET0400,PET0400_flower,PET0400_leafbottom,PET0400_leaftop,nan,PET0400_planttop,nan,nan,PET0400_leafstrip
PET0401,PET0401_flower,PET0401_leafbottom,PET0401_leaftop,nan,PET0401_planttop,PET0401_primarybranch,PET0401_seed,PET0401_leafstrip
PET0402,PET0402_flower,PET0402_leafbottom,PET0402_leaftop,nan,PET0402_planttop,nan,PET0402_seed,PET0402_leafstrip
PET0403,PET0403_flower,PET0403_leafbottom,PET0403_leaftop,nan,PET0403_planttop,nan,nan,PET0403_leafstrip
PET0404,PET0404_flower,PET0404_leafbottom,PET0404_leaftop,nan,PET0404_planttop,nan,nan,PET0404_leafstrip
PET0405,PET0405_flower,PET0405_leafbottom,PET0405_leaftop,nan,PET0405_planttop,PET0405_primarybranch,PET0405_seed,PET0405_leafstrip
PET0406,PET0406_flower,PET0406_leafbottom,PET0406_leaftop,nan,PET0406_planttop,nan,PET0406_seed,PET0406_leafstrip
PET0407,PET0407_flower,PET0407_leafbottom,PET0407_leaftop,nan,PET0407_planttop,nan,PET0407_seed,PET0407_leafstrip
PET0408,PET0408_flower,PET0408_leafbottom,PET0408_leaftop,nan,PET0408_planttop,nan,PET0408_seed,PET0408_leafstrip
PET0409,PET0409_flower,nan,nan,nan,PET0409_planttop,nan,nan,nan
PET0410,nan,nan,nan,nan,nan,nan,nan,nan
PET0411,PET0411_flower,PET0411_leafbottom,PET0411_leaftop,nan,PET0411_planttop,PET0411_primarybranch,nan,PET0411_leafstrip
PET0412,PET0412_flower,PET0412_leafbottom,PET0412_leaftop,nan,PET0412_planttop,PET0412_primarybranch,PET0412_seed,PET0412_leafstrip
PET0413,PET0413_flower,PET0413_leafbottom,PET0413_leaftop,nan,PET0413_planttop,nan,PET0413_seed,PET0413_leafstrip
PET0414,PET0414_flower,PET0414_leafbottom,PET0414_leaftop,nan,PET0414_planttop,nan,PET0414_seed,PET0414_leafstrip
PET0415,PET0415_flower,PET0415_leafbottom,PET0415_leaftop,nan,PET0415_planttop,nan,nan,PET0415_leafstrip
PET0416,PET0416_flower,PET0416_leafbottom,PET0416_leaftop,nan,PET0416_planttop,nan,nan,PET0416_leafstrip
PET0417,PET0417_flower,PET0417_leafbottom,PET0417_leaftop,nan,PET0417_planttop,nan,nan,PET0417_leafstrip
PET0418,PET0418_flower,PET0418_leafbottom,PET0418_leaftop,nan,PET0418_planttop,nan,nan,PET0418_leafstrip
PET0419,PET0419_flower,PET0419_leafbottom,PET0419_leaftop,nan,nan,nan,nan,PET0419_leafstrip
PET0420,nan,nan,nan,nan,nan,nan,nan,nan
PET0421,PET0421_flower,PET0421_leafbottom,PET0421_leaftop,nan,PET0421_planttop,nan,nan,PET0421_leafstrip
PET0422,PET0422_flower,PET0422_leafbottom,PET0422_leaftop,nan,PET0422_planttop,nan,nan,PET0422_leafstrip
PET0423,nan,nan,nan,nan,nan,nan,nan,nan
PET0424,PET0424_flower,PET0424_leafbottom,PET0424_leaftop,nan,PET0424_planttop,nan,PET0424_seed,PET0424_leafstrip
PET0425,PET0425_flower,PET0425_leafbottom,PET0425_leaftop,nan,PET0425_planttop,nan,PET0425_seed,PET0425_leafstrip
PET0426,PET0426_flower,PET0426_leafbottom,PET0426_leaftop,nan,PET0426_planttop,nan,PET0426_seed,PET0426_leafstrip
PET0427,PET0427_flower,PET0427_leafbottom,PET0427_leaftop,nan,PET0427_planttop,nan,nan,PET0427_leafstrip
PET0428,nan,nan,nan,nan,nan,nan,nan,nan
PET0429,PET0429_flower,PET0429_leafbottom,PET0429_leaftop,nan,PET0429_planttop,PET0429_primarybranch,PET0429_seed,PET0429_leafstrip
PET0430,PET0430_flower,PET0430_leafbottom,PET0430_leaftop,nan,PET0430_planttop,PET0430_primarybranch,PET0430_seed,PET0430_leafstrip
PET0431,PET0431_flower,PET0431_leafbottom,PET0431_leaftop,nan,PET0431_planttop,nan,nan,PET0431_leafstrip
PET0432,PET0432_flower,PET0432_leafbottom,PET0432_leaftop,nan,PET0432_planttop,nan,nan,PET0432_leafstrip
PET0433,PET0433_flower,PET0433_leafbottom,PET0433_leaftop,nan,PET0433_planttop,PET0433_primarybranch,PET0433_seed,PET0433_leafstrip
PET0434,PET0434_flower,PET0434_leafbottom,PET0434_leaftop,nan,PET0434_planttop,nan,PET0434_seed,PET0434_leafstrip
PET0435,PET0435_flower,PET0435_leafbottom,PET0435_leaftop,nan,PET0435_planttop,PET0435_primarybranch,PET0435_seed,PET0435_leafstrip
PET0436,PET0436_flower,PET0436_leafbottom,PET0436_leaftop,nan,PET0436_planttop,PET0436_primarybranch,PET0436_seed,PET0436_leafstrip
PET0437,PET0437_flower,PET0437_leafbottom,PET0437_leaftop,nan,PET0437_planttop,nan,PET0437_seed,PET0437_leafstrip
PET0438,PET0438_flower,PET0438_leafbottom,PET0438_leaftop,nan,PET0438_planttop,PET0438_primarybranch,PET0438_seed,PET0438_leafstrip
PET0439,PET0439_flower,PET0439_leafbottom,PET0439_leaftop,nan,PET0439_planttop,PET0439_primarybranch,PET0439_seed,PET0439_leafstrip
PET0440,PET0440_flower,PET0440_leafbottom,PET0440_leaftop,nan,PET0440_planttop,PET0440_primarybranch,nan,PET0440_leafstrip
PET0441,PET0441_flower,PET0441_leafbottom,PET0441_leaftop,nan,PET0441_planttop,nan,PET0441_seed,PET0441_leafstrip
PET0442,PET0442_flower,PET0442_leafbottom,PET0442_leaftop,nan,PET0442_planttop,nan,PET0442_seed,PET0442_leafstrip
PET0443,PET0443_flower,PET0443_leafbottom,PET0443_leaftop,nan,PET0443_planttop,PET0443_primarybranch,PET0443_seed,PET0443_leafstrip
PET0444,PET0444_flower,PET0444_leafbottom,PET0444_leaftop,nan,PET0444_planttop,PET0444_primarybranch,PET0444_seed,PET0444_leafstrip
PET0445,PET0445_flower,PET0445_leafbottom,PET0445_leaftop,nan,PET0445_planttop,PET0445_primarybranch,nan,PET0445_leafstrip
PET0446,PET0446_flower,PET0446_leafbottom,PET0446_leaftop,nan,PET0446_planttop,PET0446_primarybranch,nan,PET0446_leafstrip
PET0447,PET0447_flower,PET0447_leafbottom,PET0447_leaftop,nan,PET0447_planttop,nan,PET0447_seed,PET0447_leafstrip
PET0448,PET0448_flower,PET0448_leafbottom,PET0448_leaftop,nan,PET0448_planttop,nan,PET0448_seed,PET0448_leafstrip
PET0449,PET0449_flower,PET0449_leafbottom,PET0449_leaftop,nan,PET0449_planttop,nan,PET0449_seed,PET0449_leafstrip
PET0450,PET0450_flower,PET0450_leafbottom,PET0450_leaftop,nan,PET0450_planttop,nan,PET0450_seed,PET0450_leafstrip
PET0451,PET0451_flower,PET0451_leafbottom,PET0451_leaftop,nan,PET0451_planttop,PET0451_primarybranch,PET0451_seed,PET0451_leafstrip
PET0452,PET0452_flower,PET0452_leafbottom,PET0452_leaftop,nan,PET0452_planttop,PET0452_primarybranch,PET0452_seed,PET0452_leafstrip
PET0453,PET0453_flower,PET0453_leafbottom,PET0453_leaftop,nan,PET0453_planttop,PET0453_primarybranch,PET0453_seed,PET0453_leafstrip
PET0454,PET0454_flower,PET0454_leafbottom,PET0454_leaftop,nan,PET0454_planttop,PET0454_primarybranch,PET0454_seed,PET0454_leafstrip
PET0455,PET0455_flower,PET0455_leafbottom,PET0455_leaftop,nan,PET0455_planttop,nan,nan,PET0455_leafstrip
PET0456,PET0456_flower,PET0456_leafbottom,PET0456_leaftop,nan,PET0456_planttop,PET0456_primarybranch,nan,PET0456_leafstrip
PET0457,PET0457_flower,PET0457_leafbottom,PET0457_leaftop,nan,PET0457_planttop,PET0457_primarybranch,PET0457_seed,PET0457_leafstrip
PET0458,PET0458_flower,PET0458_leafbottom,PET0458_leaftop,nan,PET0458_planttop,nan,PET0458_seed,PET0458_leafstrip
PET0459,PET0459_flower,PET0459_leafbottom,PET0459_leaftop,nan,PET0459_planttop,PET0459_primarybranch,PET0459_seed,PET0459_leafstrip
PET0460,PET0460_flower,PET0460_leafbottom,PET0460_leaftop,nan,PET0460_planttop,nan,PET0460_seed,PET0460_leafstrip
PET0461,PET0461_flower,PET0461_leafbottom,PET0461_leaftop,nan,PET0461_planttop,PET0461_primarybranch,PET0461_seed,PET0461_leafstrip
PET0462,PET0462_flower,PET0462_leafbottom,PET0462_leaftop,nan,PET0462_planttop,PET0462_primarybranch,PET0462_seed,PET0462_leafstrip
PET0463,PET0463_flower,PET0463_leafbottom,PET0463_leaftop,nan,PET0463_planttop,PET0463_primarybranch,PET0463_seed,PET0463_leafstrip
PET0464,PET0464_flower,PET0464_leafbottom,PET0464_leaftop,nan,PET0464_planttop,PET0464_primarybranch,PET0464_seed,PET0464_leafstrip
PET0465,PET0465_flower,PET0465_leafbottom,PET0465_leaftop,nan,PET0465_planttop,PET0465_primarybranch,PET0465_seed,PET0465_leafstrip
PET0466,PET0466_flower,PET0466_leafbottom,PET0466_leaftop,nan,PET0466_planttop,PET0466_primarybranch,PET0466_seed,PET0466_leafstrip
PET0467,PET0467_flower,PET0467_leafbottom,PET0467_leaftop,nan,PET0467_planttop,PET0467_primarybranch,PET0467_seed,PET0467_leafstrip
PET0468,PET0468_flower,PET0468_leafbottom,PET0468_leaftop,nan,PET0468_planttop,nan,PET0468_seed,PET0468_leafstrip
PET0469,PET0469_flower,PET0469_leafbottom,PET0469_leaftop,nan,PET0469_planttop,PET0469_primarybranch,PET0469_seed,PET0469_leafstrip
PET0470,PET0470_flower,PET0470_leafbottom,PET0470_leaftop,nan,PET0470_planttop,PET0470_primarybranch,PET0470_seed,PET0470_leafstrip
PET0471,nan,nan,nan,nan,nan,nan,nan,nan
PET0472,PET0472_flower,PET0472_leafbottom,PET0472_leaftop,nan,PET0472_planttop,PET0472_primarybranch,PET0472_seed,PET0472_leafstrip
PET0473,PET0473_flower,PET0473_leafbottom,PET0473_leaftop,nan,PET0473_planttop,nan,PET0473_seed,PET0473_leafstrip
PET0474,PET0474_flower,PET0474_leafbottom,PET0474_leaftop,nan,PET0474_planttop,PET0474_primarybranch,PET0474_seed,PET0474_leafstrip
PET0475,PET0475_flower,PET0475_leafbottom,PET0475_leaftop,nan,PET0475_planttop,PET0475_primarybranch,PET0475_seed,PET0475_leafstrip
PET0476,PET0476_flower,PET0476_leafbottom,PET0476_leaftop,nan,PET0476_planttop,nan,PET0476_seed,PET0476_leafstrip
PET0477,PET0477_flower,PET0477_leafbottom,PET0477_leaftop,nan,PET0477_planttop,PET0477_primarybranch,PET0477_seed,PET0477_leafstrip
PET0478,PET0478_flower,PET0478_leafbottom,PET0478_leaftop,nan,PET0478_planttop,PET0478_primarybranch,PET0478_seed,PET0478_leafstrip
PET0479,PET0479_flower,PET0479_leafbottom,PET0479_leaftop,nan,PET0479_planttop,PET0479_primarybranch,nan,PET0479_leafstrip
PET0480,PET0480_flower,PET0480_leafbottom,PET0480_leaftop,nan,PET0480_planttop,PET0480_primarybranch,nan,PET0480_leafstrip
PET0481,nan,nan,nan,nan,nan,nan,nan,nan
PET0482,PET0482_flower,PET0482_leafbottom,PET0482_leaftop,nan,PET0482_planttop,PET0482_primarybranch,PET0482_seed,PET0482_leafstrip
PET0483,PET0483_flower,PET0483_leafbottom,PET0483_leaftop,nan,PET0483_planttop,nan,PET0483_seed,PET0483_leafstrip
PET0484,PET0484_flower,PET0484_leafbottom,PET0484_leaftop,nan,PET0484_planttop,PET0484_primarybranch,PET0484_seed,PET0484_leafstrip
PET0485,PET0485_flower,PET0485_leafbottom,PET0485_leaftop,nan,PET0485_planttop,PET0485_primarybranch,PET0485_seed,PET0485_leafstrip
PET0486,PET0486_flower,PET0486_leafbottom,PET0486_leaftop,nan,PET0486_planttop,PET0486_primarybranch,PET0486_seed,PET0486_leafstrip
PET0487,PET0487_flower,PET0487_leafbottom,PET0487_leaftop,nan,PET0487_planttop,PET0487_primarybranch,PET0487_seed,PET0487_leafstrip
PET0488,PET0488_flower,PET0488_leafbottom,PET0488_leaftop,nan,PET0488_planttop,PET0488_primarybranch,PET0488_seed,PET0488_leafstrip
PET0489,PET0489_flower,PET0489_leafbottom,PET0489_leaftop,nan,PET0489_planttop,PET0489_primarybranch,PET0489_seed,PET0489_leafstrip
PET0490,PET0490_flower,PET0490_leafbottom,PET0490_leaftop,nan,PET0490_planttop,PET0490_primarybranch,PET0490_seed,PET0490_leafstrip
PET0491,PET0491_flower,PET0491_leafbottom,PET0491_leaftop,nan,PET0491_planttop,PET0491_primarybranch,PET0491_seed,PET0491_leafstrip
PET0492,PET0492_flower,PET0492_leafbottom,PET0492_leaftop,nan,PET0492_planttop,PET0492_primarybranch,PET0492_seed,PET0492_leafstrip
PET0493,PET0493_flower,PET0493_leafbottom,PET0493_leaftop,nan,PET0493_planttop,nan,PET0493_seed,PET0493_leafstrip
PET0494,PET0494_flower,PET0494_leafbottom,PET0494_leaftop,nan,PET0494_planttop,PET0494_primarybranch,PET0494_seed,PET0494_leafstrip
PET0495,PET0495_flower,PET0495_leafbottom,PET0495_leaftop,nan,PET0495_planttop,PET0495_primarybranch,PET0495_seed,PET0495_leafstrip
PET0496,PET0496_flower,PET0496_leafbottom,PET0496_leaftop,nan,PET0496_planttop,PET0496_primarybranch,PET0496_seed,PET0496_leafstrip
PET0497,PET0497_flower,PET0497_leafbottom,PET0497_leaftop,nan,PET0497_planttop,PET0497_primarybranch,PET0497_seed,PET0497_leafstrip
PET0498,PET0498_flower,PET0498_leafbottom,PET0498_leaftop,nan,PET0498_planttop,PET0498_primarybranch,PET0498_seed,PET0498_leafstrip
PET0499,PET0499_flower,PET0499_leafbottom,PET0499_leaftop,nan,PET0499_planttop,PET0499_primarybranch,PET0499_seed,PET0499_leafstrip
PET0500,PET0500_flower,PET0500_leafbottom,PET0500_leaftop,nan,PET0500_planttop,nan,PET0500_seed,PET0500_leafstrip
PET0501,PET0501_flower,PET0501_leafbottom,PET0501_leaftop,nan,PET0501_planttop,PET0501_primarybranch,nan,PET0501_leafstrip
PET0502,PET0502_flower,PET0502_leafbottom,PET0502_leaftop,nan,PET0502_planttop,PET0502_primarybranch,nan,PET0502_leafstrip
PET0503,PET0503_flower,PET0503_leafbottom,PET0503_leaftop,nan,PET0503_planttop,PET0503_primarybranch,PET0503_seed,PET0503_leafstrip
PET0504,PET0504_flower,PET0504_leafbottom,PET0504_leaftop,nan,PET0504_planttop,PET0504_primarybranch,PET0504_seed,PET0504_leafstrip
PET0505,PET0505_flower,PET0505_leafbottom,PET0505_leaftop,nan,PET0505_planttop,PET0505_primarybranch,PET0505_seed,PET0505_leafstrip
PET0506,PET0506_flower,PET0506_leafbottom,PET0506_leaftop,nan,PET0506_planttop,PET0506_primarybranch,PET0506_seed,PET0506_leafstrip
PET0507,PET0507_flower,PET0507_leafbottom,PET0507_leaftop,nan,PET0507_planttop,PET0507_primarybranch,PET0507_seed,PET0507_leafstrip
PET0508,PET0508_flower,PET0508_leafbottom,PET0508_leaftop,nan,PET0508_planttop,PET0508_primarybranch,PET0508_seed,PET0508_leafstrip
PET0509,nan,nan,nan,nan,nan,nan,nan,nan
PET0510,nan,nan,nan,nan,nan,nan,nan,nan
PET0511,PET0511_flower,PET0511_leafbottom,PET0511_leaftop,nan,PET0511_planttop,PET0511_primarybranch,nan,PET0511_leafstrip
PET0512,PET0512_flower,PET0512_leafbottom,PET0512_leaftop,nan,PET0512_planttop,PET0512_primarybranch,nan,PET0512_leafstrip
PET0513,PET0513_flower,PET0513_leafbottom,PET0513_leaftop,nan,nan,PET0513_primarybranch,PET0513_seed,PET0513_leafstrip
PET0514,PET0514_flower,PET0514_leafbottom,PET0514_leaftop,nan,nan,PET0514_primarybranch,PET0514_seed,PET0514_leafstrip
PET0515,PET0515_flower,PET0515_leafbottom,PET0515_leaftop,nan,PET0515_planttop,PET0515_primarybranch,PET0515_seed,PET0515_leafstrip
PET0516,PET0516_flower,PET0516_leafbottom,PET0516_leaftop,nan,PET0516_planttop,PET0516_primarybranch,PET0516_seed,PET0516_leafstrip
PET0517,PET0517_flower,PET0517_leafbottom,PET0517_leaftop,nan,PET0517_planttop,PET0517_primarybranch,PET0517_seed,PET0517_leafstrip
PET0518,PET0518_flower,PET0518_leafbottom,PET0518_leaftop,nan,PET0518_planttop,PET0518_primarybranch,PET0518_seed,PET0518_leafstrip
PET0519,PET0519_flower,PET0519_leafbottom,PET0519_leaftop,nan,PET0519_planttop,PET0519_primarybranch,nan,PET0519_leafstrip
PET0520,PET0520_flower,PET0520_leafbottom,PET0520_leaftop,nan,PET0520_planttop,PET0520_primarybranch,PET0520_seed,PET0520_leafstrip
PET0521,PET0521_flower,nan,nan,nan,nan,PET0521_primarybranch,PET0521_seed,PET0521_leafstrip
PET0522,PET0522_flower,PET0522_leafbottom,PET0522_leaftop,nan,PET0522_planttop,PET0522_primarybranch,PET0522_seed,PET0522_leafstrip
PET0523,nan,nan,nan,nan,nan,nan,nan,nan
PET0524,PET0524_flower,PET0524_leafbottom,PET0524_leaftop,nan,PET0524_planttop,nan,PET0524_seed,PET0524_leafstrip
PET0525,PET0525_flower,PET0525_leafbottom,PET0525_leaftop,nan,PET0525_planttop,PET0525_primarybranch,PET0525_seed,PET0525_leafstrip
PET0526,PET0526_flower,PET0526_leafbottom,PET0526_leaftop,nan,PET0526_planttop,PET0526_primarybranch,PET0526_seed,PET0526_leafstrip
PET0527,PET0527_flower,PET0527_leafbottom,PET0527_leaftop,nan,PET0527_planttop,nan,nan,PET0527_leafstrip
PET0528,PET0528_flower,PET0528_leafbottom,PET0528_leaftop,nan,PET0528_planttop,PET0528_primarybranch,nan,PET0528_leafstrip
PET0529,PET0529_flower,PET0529_leafbottom,PET0529_leaftop,nan,PET0529_planttop,PET0529_primarybranch,PET0529_seed,PET0529_leafstrip
PET0530,PET0530_flower,PET0530_leafbottom,PET0530_leaftop,nan,PET0530_planttop,PET0530_primarybranch,PET0530_seed,PET0530_leafstrip
PET0531,PET0531_flower,PET0531_leafbottom,PET0531_leaftop,nan,PET0531_planttop,PET0531_primarybranch,nan,PET0531_leafstrip
PET0532,PET0532_flower,PET0532_leafbottom,PET0532_leaftop,nan,PET0532_planttop,PET0532_primarybranch,nan,PET0532_leafstrip
PET0533,PET0533_flower,PET0533_leafbottom,PET0533_leaftop,nan,PET0533_planttop,PET0533_primarybranch,PET0533_seed,PET0533_leafstrip
PET0534,PET0534_flower,PET0534_leafbottom,PET0534_leaftop,nan,PET0534_planttop,PET0534_primarybranch,PET0534_seed,PET0534_leafstrip
PET0535,PET0535_flower,nan,nan,nan,PET0535_planttop,PET0535_primarybranch,PET0535_seed,PET0535_leafstrip
PET0536,PET0536_flower,PET0536_leafbottom,PET0536_leaftop,nan,PET0536_planttop,PET0536_primarybranch,PET0536_seed,PET0536_leafstrip
PET0537,PET0537_flower,PET0537_leafbottom,PET0537_leaftop,nan,PET0537_planttop,PET0537_primarybranch,nan,PET0537_leafstrip
PET0538,PET0538_flower,PET0538_leafbottom,PET0538_leaftop,nan,PET0538_planttop,PET0538_primarybranch,nan,PET0538_leafstrip
PET0539,PET0539_flower,PET0539_leafbottom,PET0539_leaftop,nan,PET0539_planttop,PET0539_primarybranch,PET0539_seed,PET0539_leafstrip
PET0540,PET0540_flower,PET0540_leafbottom,PET0540_leaftop,nan,PET0540_planttop,PET0540_primarybranch,PET0540_seed,PET0540_leafstrip
PET0541,PET0541_flower,PET0541_leafbottom,PET0541_leaftop,nan,PET0541_planttop,PET0541_primarybranch,PET0541_seed,PET0541_leafstrip
PET0542,PET0542_flower,PET0542_leafbottom,PET0542_leaftop,nan,PET0542_planttop,PET0542_primarybranch,PET0542_seed,PET0542_leafstrip
PET0543,PET0543_flower,PET0543_leafbottom,PET0543_leaftop,nan,PET0543_planttop,PET0543_primarybranch,PET0543_seed,PET0543_leafstrip
PET0544,PET0544_flower,PET0544_leafbottom,PET0544_leaftop,nan,PET0544_planttop,PET0544_primarybranch,PET0544_seed,PET0544_leafstrip
PET0545,PET0545_flower,PET0545_leafbottom,PET0545_leaftop,nan,PET0545_planttop,PET0545_primarybranch,PET0545_seed,PET0545_leafstrip
PET0546,PET0546_flower,PET0546_leafbottom,PET0546_leaftop,nan,PET0546_planttop,PET0546_primarybranch,PET0546_seed,PET0546_leafstrip
PET0547,PET0547_flower,PET0547_leafbottom,PET0547_leaftop,nan,PET0547_planttop,PET0547_primarybranch,PET0547_seed,PET0547_leafstrip
PET0548,PET0548_flower,PET0548_leafbottom,PET0548_leaftop,nan,PET0548_planttop,PET0548_primarybranch,PET0548_seed,PET0548_leafstrip
PET0549,PET0549_flower,PET0549_leafbottom,PET0549_leaftop,nan,PET0549_planttop,PET0549_primarybranch,nan,PET0549_leafstrip
PET0550,nan,nan,nan,nan,nan,nan,nan,nan
PET0551,PET0551_flower,PET0551_leafbottom,PET0551_leaftop,nan,PET0551_planttop,nan,nan,PET0551_leafstrip
PET0552,nan,nan,nan,nan,nan,nan,nan,nan
PET0553,PET0553_flower,PET0553_leafbottom,PET0553_leaftop,nan,PET0553_planttop,PET0553_primarybranch,PET0553_seed,PET0553_leafstrip
PET0554,PET0554_flower,PET0554_leafbottom,PET0554_leaftop,nan,PET0554_planttop,PET0554_primarybranch,PET0554_seed,PET0554_leafstrip
PET0555,PET0555_flower,PET0555_leafbottom,PET0555_leaftop,nan,PET0555_planttop,PET0555_primarybranch,PET0555_seed,PET0555_leafstrip
PET0556,PET0556_flower,PET0556_leafbottom,PET0556_leaftop,nan,PET0556_planttop,PET0556_primarybranch,PET0556_seed,PET0556_leafstrip
PET0557,PET0557_flower,PET0557_leafbottom,PET0557_leaftop,nan,PET0557_planttop,PET0557_primarybranch,PET0557_seed,PET0557_leafstrip
PET0558,PET0558_flower,PET0558_leafbottom,PET0558_leaftop,nan,PET0558_planttop,PET0558_primarybranch,PET0558_seed,PET0558_leafstrip
PET0559,PET0559_flower,PET0559_leafbottom,PET0559_leaftop,nan,PET0559_planttop,PET0559_primarybranch,PET0559_seed,PET0559_leafstrip
PET0560,PET0560_flower,PET0560_leafbottom,PET0560_leaftop,nan,PET0560_planttop,PET0560_primarybranch,PET0560_seed,PET0560_leafstrip
PET0561,PET0561_flower,PET0561_leafbottom,PET0561_leaftop,nan,PET0561_planttop,PET0561_primarybranch,PET0561_seed,PET0561_leafstrip
PET0562,PET0562_flower,PET0562_leafbottom,PET0562_leaftop,nan,PET0562_planttop,PET0562_primarybranch,PET0562_seed,PET0562_leafstrip
PET0563,PET0563_flower,PET0563_leafbottom,PET0563_leaftop,nan,PET0563_planttop,PET0563_primarybranch,PET0563_seed,PET0563_leafstrip
PET0564,PET0564_flower,PET0564_leafbottom,PET0564_leaftop,nan,PET0564_planttop,PET0564_primarybranch,PET0564_seed,PET0564_leafstrip
PET0565,PET0565_flower,PET0565_leafbottom,PET0565_leaftop,nan,PET0565_planttop,PET0565_primarybranch,PET0565_seed,PET0565_leafstrip
PET0566,PET0566_flower,PET0566_leafbottom,PET0566_leaftop,nan,PET0566_planttop,PET0566_primarybranch,PET0566_seed,PET0566_leafstrip
PET0567,PET0567_flower,PET0567_leafbottom,PET0567_leaftop,nan,PET0567_planttop,PET0567_primarybranch,nan,PET0567_leafstrip
PET0568,PET0568_flower,PET0568_leafbottom,PET0568_leaftop,nan,PET0568_planttop,nan,nan,PET0568_leafstrip
PET0569,PET0569_flower,PET0569_leafbottom,PET0569_leaftop,nan,PET0569_planttop,PET0569_primarybranch,nan,PET0569_leafstrip
PET0570,PET0570_flower,PET0570_leafbottom,PET0570_leaftop,nan,PET0570_planttop,PET0570_primarybranch,nan,PET0570_leafstrip
PET0571,PET0571_flower,PET0571_leafbottom,PET0571_leaftop,nan,PET0571_planttop,PET0571_primarybranch,PET0571_seed,PET0571_leafstrip
PET0572,PET0572_flower,PET0572_leafbottom,PET0572_leaftop,nan,PET0572_planttop,PET0572_primarybranch,PET0572_seed,PET0572_leafstrip
PET0573,PET0573_flower,PET0573_leafbottom,PET0573_leaftop,nan,PET0573_planttop,nan,PET0573_seed,PET0573_leafstrip
