Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF;Stem diameter at flowering;Plant height at flowering;Peduncle length of first flower;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
PET0528;PET0528;13;0,393939394;33;52;11,3;48,6;25,7;3,24;23,5;14;5,6;NA;18,09027595;6,672401233;40,0958066;6,009201965;2,5831623;4,435787311;1,242574949;11,06985198;3,569708964;4,333543519;17;242,7184;2910,7254;45,72;55,88;73,7447;80,4333;82,195;1,470919828;1,4394;1,613;1,5746;0,0866;0,1482;0,3909;0,4255;0,7905;0,7334;0,8722;0,8855;1,6111;0,4184;172,144;0,465871596;0,32168998;0,212438424;13,41;9,85995;2,3733125;2,639225;4,800875;4,93185;5,0406625;1,909902528;1,86915;2,0255;2,0937625;0,0718625;0,2139375;0,4780875;0,4200375;0,279775;0,7751375;0,89735;0,8754875;2,0332125;0,42885
PET0529;PET0529;9;1,125;8;28;11,3;58,3;NA;3,238888889;34,1;24;0,5;10;15,09933638;5,16402639;38,04627693;7,367560516;2,575121397;4,497093075;1,372301703;11,2933918;3,277827538;4,413961215;17,66666667;356,9245;4784,9797;44,1113;58,42;126,1533;130,2173;131,5313;2,251477234;2,229;2,8599;2,9638;0,099;0,2863;0,3497;0,3378;0,718;0,38;0,476;0,669;0,9966;0,5973;151,46;0,440809455;0,314776179;0,244414367;13,506025;9,3101125;2,1550375;2,385225;5,1355625;5,1659875;5,295875;2,220283202;2,1667625;2,38555;2,467825;0,074775;0,252975;0,4667875;0,3924125;0,2722125;0,773925;0,88945;0,861625;2,342775;0,4256875
PET0530;PET0530;11;1,571428571;7;29;10,3;46;NA;NA;31,2;16,9;2,4;12;19,70676168;6,173590784;39,47285683;6,393824633;2,420308348;4,132284815;1,360269606;11,04107372;3,056654697;4,582976933;16,33333333;249,8148;2952,0729;44,2807;53,0013;80,264;84,4973;85,6854;1,616666006;1,5942;1,8126;1,9462;0,0888;0,1788;0,3786;0,3326;0,6695;0,6419;0,7574;0,8377;1,4679;0,4678;167,404;0,479654011;0,329842776;0,190503214;14,1190875;11,14755;2,62995;2,7583;5,2586;5,384275;5,4324625;1,96949661;1,9536125;2,0022375;2,0297;0,0600625;0,2049375;0,4762125;0,3003625;0,3423625;0,77495;0,8894875;0,8783125;1,998775;0,3877
PET0531;PET0531;18;0,9;20;40;18,6;71,5;NA;NA;42,8;29,1;3,5;19;17,16780523;6,261038543;38,31010106;6,118809331;3,057637035;4,283438903;1,511670847;11,51900814;2,843674379;3,776117985;19,66666667;288,1379;3675,6271;46,8207;56,7267;100,4993;103,124;104,2582;1,837903492;1,8179;2,1465;2,261;0,0895;0,2086;0,36;0,3675;0,7283;0,7165;0,8052;0,8925;1,964;0,407;162,419;0,454251042;0,318047765;0,227701193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0532;PET0532;9;0,9;10;28;11,7;46,2;NA;3,08;46,2;15,8;1,4;12;20,43993978;6,744130742;38,20285136;5,66460717;2,829743481;4,54800638;1,573116462;11,56764885;2,892017736;4,097476474;19;242,4783;3190,6746;48,4293;56,4727;79,248;81,8727;88,7863;1,572198602;1,4498;1,6364;1,7714;0,0854;0,1551;0,394;0,4152;0,7766;0,7743;0,8821;0,8937;1,6404;0,3981;171,301;0,495087594;0,335993368;0,168919037;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0534;PET0534N;16;0,727272727;22;39;12,5;70;NA;4,375;36;18,1;0,5;14;19,83785862;6,932;37,475;5,405630932;2,921845095;4,236173704;1,522011023;11,30173993;2,783952735;3,870922845;16,33333333;227,2493;2497,5864;34,4593;46,99;80,6027;82,9733;82,886;1,763907214;1,7658;2,3391;2,4011;0,0983;0,2349;0,36;0,493;0,7873;0,7007;0,7949;0,884;2,0296;0,4773;171,409;0,478055411;0,327258195;0,194686393;13,4248875;9,71885;2,372;2,5214875;5,032375;5,1488;5,2435875;2,079561172;2,0423;2,121725;2,19985;0,066875;0,2273375;0,456125;0,3279;0,3363375;0,7615625;0,893625;0,8563625;2,071975;0,4030875
PET0535;PET0535;10;0,555555556;18;31;12,1;40;NA;2;45;16,9;4,5;8;13,74349836;6,008330697;40,49203508;6,739315314;2,730769778;3,643808277;1,736730383;9,843264684;2,111849957;3,595382152;19;280,8481;4200,0131;55,7107;66,9713;89,916;92,71;92,2642;1,377667747;1,3843;1,614;1,6802;0,0861;0,1402;0,4115;0,4223;0,7121;0,7459;0,8635;0,8727;1,5;0,405;164,1;0,471974406;0,333503961;0,194521633;15,7157625;12,245975;2,5280875;2,7305125;5,9742875;6,0523625;6,1488;2,251884948;2,2185125;2,3664;2,392575;0,0706875;0,252925;0,453;0,3379125;0,3213875;0,7688375;0,8831125;0,8679375;2,306925;0,3989625
PET0536;PET0536;14;1,555555556;9;39;14,1;52,1;NA;2,894444444;32,8;18,3;1,6;12;15,69858429;6,417851969;39,74877551;6,193470292;2,411998163;3,159522426;1,740987047;8,508750062;1,819582378;3,531596075;13,33333333;257,9549;3277,8644;40,386;54,6947;92,7947;95,758;97,1091;1,775475503;1,7508;2,2977;2,4428;0,0966;0,2281;0,3506;0,4426;0,7476;0,7805;0,9028;0,8882;2,2969;0,4183;163,553;0,444871082;0,321822284;0,233306635;12,794775;9,1401875;2,460625;2,60615;4,56935;4,5958125;4,8319875;1,854071139;1,7639875;1,8577625;1,9456;0,055525;0,1878125;0,4827;0,3183;0,34165;0,7266125;0,87935;0,8122625;1,6979125;0,4378125
PET0537;PET0537;9;0,642857143;14;32;13,1;49,2;28,3;4,1;43,1;21;2,2;12;18,68861865;6,045189429;38,24207721;6,326034554;2,277531367;3,943816809;1,597258351;9,641344767;2,468381991;4,390704523;22;240,5878;2906,0802;50,6307;56,5573;82,3807;86,0213;88,4705;1,564263146;1,521;1,6271;1,6088;0,0729;0,1575;0,3256;0,1956;0,6201;0,7645;0,8909;0,8858;1,6234;0,2814;176,672;0,466101023;0,3234525;0,210446477;13,3977375;9,519275;2,247625;2,4460875;5,0839625;5,1064625;5,2336125;2,139585154;2,0880375;2,2628875;2,2898625;0,068425;0,240025;0,480375;0,3738375;0,2904875;0,76635;0,883;0,85815;2,164675;0,4175875
PET0539;PET0539;13;0,928571429;14;38;18,8;57,2;NA;4,085714286;33,9;17,3;0,5;10;18,5846617;6,385578862;39,43445399;6,175548818;2,692859808;4,791809786;1,790137743;12,22683513;2,681786608;4,61532177;16,33333333;288,1045;4114,6441;54,5253;61,8067;97,282;98,8907;100,6763;1,628889748;1,6;1,7842;1,8464;0,0731;0,169;0,3792;0,3351;0,6456;0,6324;0,7179;0,8754;1,337;0,4426;148,463;0,479277665;0,31068347;0,210038865;12,7063375;8,89255;2,260875;2,4579875;4,7439875;4,7770625;4,9053125;1,995662102;1,9443375;2,0996875;2,1182875;0,0665875;0,219725;0,4683;0,362675;0,3122375;0,75465;0,884225;0,844325;1,9988625;0,42985
PET0540;PET0540;11;0,916666667;12;38;15,4;55,1;NA;4,238461538;36,8;17,9;0,5;12;17,17765483;6,496961114;38,41852404;5,913306755;3,081400029;4,304978948;1,470874864;11,30800565;2,928647219;3,513329896;20,5;295,6087;3822,0282;44,5347;53,2553;102,616;105,3253;107,7879;2,023984467;1,9777;2,3042;2,2167;0,0802;0,2381;0,4108;0,379;0,6613;0,7015;0,7934;0,8826;2,0185;0,4451;167,575;0,441551544;0,320907057;0,237541399;14,2321625;10,854725;2,4288625;2,6722875;5,445125;5,4702625;5,5694;2,08413204;2,049475;2,24295;2,283075;0,0718375;0,236475;0,452625;0,3506625;0,299875;0,776275;0,888325;0,8644375;2,19005;0,4061
PET0541;PET0541N;9;0,642857143;14;43;7,1;40,6;27,5;2,9;33,2;20,5;2,2;11;13,06643503;4,819;36,772;7,630404065;2,590017521;3,865249023;1,515668429;10,03553012;2,59353329;3,925163664;16,33333333;240,7049;2805,3636;39,2007;45,212;93,3027;94,5727;96,2196;2,128187207;2,0918;2,3801;2,4598;0,0762;0,2433;0,3659;0,3222;0,6625;0,7885;0,8809;0,9007;2,3913;0,3501;165,692;0,463190739;0,32278565;0,21402361;13,430275;9,1681;2,13255;2,4010875;5,0376625;5,08795;5,234725;2,180147537;2,122675;2,3640375;2,43085;0,0734125;0,2512875;0,4673;0,3947125;0,290525;0,7572875;0,885825;0,847;2,2241875;0,4307875
PET0542;PET0542N;9;0,75;12;49;10;40,3;23;3,1;40,1;14,2;0;11;16,22825577;6,647;40,333;6,068261381;2,314845205;3,960357295;1,17737667;10,11846959;3,360964895;4,364088225;18,5;181,6674;1687,7386;30,734;35,1367;67,6487;69,0033;70,3713;2,002786261;1,9639;2,2011;2,3683;0,0814;0,2359;0,3842;0,4123;0,7043;0,7838;0,8873;0,8873;2,2153;0,3871;175,548;0,451221318;0,324469661;0,224309021;13,8742;9,8451125;2,1748875;2,3137625;5,410725;5,43455;5,5222875;2,3867132;2,3515375;2,4921875;2,5091;0,070575;0,2667125;0,5011625;0,357825;0,2960375;0,7608375;0,886875;0,8477375;2,373225;0,4255125
PET0543;PET0543;14;0,7;20;38;17,6;79;NA;3,95;33,3;18,8;0,6;15;16,35457931;5,532266839;39,18457696;7,082915214;2,766952551;4,231693233;1,339323357;11,07242582;3,161287389;4,093647074;17,5;358,6201;6103,529;66,8867;77,8933;117,0093;122,5127;129,5506;1,663180274;1,5728;1,7494;1,7927;0,0866;0,1621;0,3401;0,3187;0,6582;0,5851;0,6779;0,8722;1,1849;0,4428;166,836;0,464060515;0,327926826;0,208012659;12,348325;7,6106625;1,9301375;2,111375;4,7109125;4,7982125;4,9436125;2,341418507;2,2734875;2,4407625;2,5238875;0,07015;0,260275;0,4624125;0,33375;0,3116375;0,7214375;0,8856875;0,8116125;2,2392375;0,450075
PET0544;PET0544;11;1,222222222;9;27;9,5;43,6;NA;2,18;27,4;15,1;1,1;11;17,35715277;6,413595553;40,1566866;6,261181621;2,490629965;4,780850844;1,500829765;11,71198019;3,194902675;4,712983663;14;300,6671;4078,9309;45,6353;61,8067;94,234;103,2933;105,6633;1,709576793;1,6712;2,0649;2,011;0,095;0,2082;0,3899;0,4344;0,7557;0,7285;0,8845;0,8943;2,0651;0,473;172,809;0,469772986;0,331261682;0,198965332;13,2463875;9,0913875;2,2410375;2,4632875;4,9569875;5,0045875;5,1091125;2,074103206;2,0339375;2,2145875;2,279;0,0707375;0,2324125;0,4463875;0,3696875;0,2981375;0,7288625;0,8728375;0,8249375;2,02535;0,4340125
PET0545;PET0545;12;1,714285714;7;29;8,4;46,2;48;3,553846154;31,7;15,2;1,5;13;20,87413469;6,229251043;38,14959217;6,12426629;2,658188475;4,311573242;1,559585093;10,95112614;2,752970007;4,109563481;17,25;231,9657;2154,2107;33,3587;41,0633;81,9573;87,122;88,6761;2,159497654;2,1216;2,4569;2,5091;0,0834;0,257;0,3235;0,2432;0,7136;0,4747;0,5661;0,8385;1,3556;0,5409;172,233;0,469102901;0,318916816;0,211980283;13,182575;8,4757125;1,980425;2,128575;5,1686375;5,252;5,3646;2,520277651;2,468075;2,611225;2,6974;0,071475;0,2781125;0,4707625;0,333375;0,3104;0,767275;0,88915;0,86265;2,5301875;0,4074
PET0546;PET0546;11;0,916666667;12;29;16,4;56,7;NA;3,335294118;37,5;37,1;1,5;9;19,12902104;6,347748451;38,93114335;6,133063345;2,724883224;4,08942663;1,677048102;10,85463161;2,44254825;3,989475498;14,33333333;259,5249;3272,9755;41,8253;55,2027;90,17;92,202;93,9797;1,702447525;1,6702;2,1559;2,1851;0,0977;0,2085;0,3583;0,4946;0,6941;0,7353;0,829;0,8869;1,9802;0,444;168,711;0,465517957;0,317969783;0,216512261;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0547;PET0547;12;0,857142857;14;36;15;72,3;NA;3,286363636;38,7;26,5;1,6;14;22,81053759;3,364496961;41,48424775;12,33000007;3,241491907;4,883485308;1,744732047;12,88119903;2,812170185;3,992874273;19;284,9776;3823,0461;43,5187;54,864;106,0027;108,0347;109,535;1,996482211;1,9691;2,4358;2,4585;0,0931;0,2519;0,3642;0,4472;0,7494;0,7467;0,8417;0,8881;2,2885;0,4168;160,212;0,458075827;0,323733521;0,218190652;13,0708375;9,6621125;2,419625;2,667;4,749275;4,826;4,9531375;1,857194413;1,810775;1,9670875;2,0384625;0,0682375;0,203075;0,4636625;0,38785;0,2989875;0,78615;0,8923875;0,883575;1,9872375;0,412575
PET0548;PET0548;15;1,071428571;14;40;20;103,2;NA;4,914285714;39,8;33,3;2,3;14;17,34644088;6,188180458;40,71601194;6,579641983;3,491648648;4,64498229;1,636972225;12,5899042;2,85281265;3,596616895;21,66666667;330,4768;5516,1682;66,294;77,47;94,996;99,7373;105,7731;1,365342713;1,2874;1,433;1,5708;0,0837;0,1262;0,4654;0,4119;0,7012;0,7613;0,8889;0,888;1,4359;0,4294;168,801;0,447829101;0,315051451;0,237119448;14,5165375;10,7825625;2,368025;2,5982125;5,52185;5,5443375;5,6875125;2,189009752;2,1351;2,333275;2,3495875;0,0702125;0,2440375;0,4669;0,3515625;0,3066875;0,7564625;0,8875;0,8414125;2,2091875;0,42155
PET0549;PET0549;18;0,382978723;47;64;14,5;95,5;37;5,617647059;25;20,5;15;15;20,13198917;6,799448868;40,93719403;6,02066356;2,851968921;4,464618251;1,566974071;11,8538369;2,855271545;4,158348562;18,66666667;284,3864;4276,0345;47,752;60,0287;98,044;101,7693;102,7935;1,712405899;1,6953;2,0532;1,94;0,0894;0,1983;0,4308;0,5484;0,8087;0,771;0,8895;0,8887;2,0578;0,4513;161,979;0,473215664;0,318535119;0,208249217;13,35245;9,1582;2,055825;2,21325;5,1964125;5,246675;5,3380375;2,411854739;2,376;NA;2,6063;0,0727125;0,2716375;0,504625;NA;NA;NA;NA;NA;NA;NA
PET0550;PET0550;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0552;PET0552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
