Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF ;Stem diameter at flowering;Plant height at flowering;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Stem colour;Petiole main veins colour;Darker axillae;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Trichomes length;Trichomes density leaf edge flat area;Trichomes density leaf edge secondary veins;Trichomes density leaf center flat area;Trichomes density leaf center secondary veins;Trichomes density edge average;Trichomes density center average;Trichomes density nonvein average;Trichomes density vein average;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Phyllaries diameter;Phyllaries length;Phyllaries width;Phyllaries LW ratio;Flowerhead to phyllaries diameter ratio;Disk to phyllaries diameter ratio;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
ANN0811;ANN0811;18;0,75;24;49;34,6;141,7;7,872222222;46;43;20;15;24,12911969;6,516;42,642;6,544529584;4,71220972;5,624137718;1,778952267;15,06214814;3,138074384;3,185335778;21,66666667;1;3;1;589,2914;16067,5808;114,3;139,192;154,178;177,292;195,1035;1,40168616;2,562;74;29;65;85;51,5;75;69,5;57;1,2737;1,3489;1,4743;0,0984;0,1244;0,4058;0,4831;0,7363;0,6973;0,8741;0,8901;1,3207;0,436;172,647;0,462330652;0,307894142;0,229775206;8,071653335;3,379994548;1,166694113;2,902966049;1,865709606;0,556333903;13,6180375;10,6764375;2,68155;2,7992875;5,0681;5,0866125;5,2206125;1,864979035;1,82545;1,8978;1,9387125;0,056475;0,1913875;0,4665375;0,2677375;0,3808625;0,7799875;0,8856125;0,8703375;1,8657125;0,3798875
ANN0812;ANN0812;16;0,5;32;60;40,8;166,5;10,40625;66;40;7;23;21,39570016;5,235;44,366;8,475483605;4,640572127;5,451859026;1,691649579;14,60515541;3,233979963;3,145633206;22;1;1;0;534,6721;9283,5943;72,136;93,98;155,448;156,972;175,1924;1,864145563;3,725632653;40;49;56;72;44,5;64;48;60,5;1,6703;2,1549;2,2914;0,1075;0,2093;0,386;0,5373;0,7539;0,778;0,8856;0,8711;2;0,3712;194,174;0,474800952;0,319321845;0,205877203;7,818020707;2,942150445;1,133359027;2,599614377;1,873440699;0,595050075;13,271475;10,617225;2,7966375;2,9593625;4,677825;4,70165;4,8445875;1,637037538;1,590625;1,6757875;1,716125;0,0562125;0,1545875;0,4753125;0,312925;0,3325;0,7775;0,8890625;0,8679;1,6478;0,4023125
ANN0813;ANN0813;22;0,785714286;28;54;44,3;165,5;7,522727273;76;45;7;23;20,95531001;5,394;42,936;7,959372679;4,631358991;5,509755249;1,498567915;14,9273139;3,673211407;3,243868259;24,66666667;2;4;1;755,0923;16858,5469;101,092;134,874;198,628;209,296;253,4084;1,878852855;3,135502041;48;34;61;49;41;55;54,5;41,5;1,5518;1,9648;2,4274;0,1139;0,1901;0,3674;0,4143;0,6893;0,7582;0,8851;0,8801;1,9623;0,4036;162,757;0,470191758;0,313786811;0,216021431;7,56123002;2,973239279;0,884259814;3,402829278;1,981572836;0,614878916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ANN0814;ANN0814;18;0,818181818;22;49;31,2;120,7;6,705555556;51;38;6,5;19;19,65530888;6,395;41,801;6,536029326;2,975738472;4,023228019;1,781429453;10,76822607;2,285692214;3,619404636;21,33333333;1;4;0;363,5192;5975,2139;73,406;89,916;89,408;99,314;111,2929;1,237743005;2,573828571;71;72;80;92;71,5;86;75,5;82;1,1045;1,218;1,4654;0,1095;0,1146;0,4027;0,5596;0,7378;0,7538;0,9074;0,8647;1,225;0,4016;183,588;0,450100224;0,312689283;0,237210493;5,851062378;2,429943257;0,772449971;3,161312702;1,840191029;0,508471045;12,2164375;8,0427375;2,2053;2,3190625;4,3444625;4,4026625;4,5902375;1,979350492;1,9076625;1,98;2,078325;0,06045;0,208625;0,510475;0,3069375;0,3445375;0,749375;0,8804125;0,846475;1,8536625;0,42685
ANN0815;ANN0815;23;0,696969697;33;61;43,2;159,3;6,926086957;36;32;9,5;22;22,6349742;5,16;42,195;8,177396627;3,631450177;5,772395105;1,42803242;15,22316475;4,059264004;4,19216245;22,33333333;1;3;1;494,0577;9561,0131;86,36;110,744;121,158;144,272;155,9534;1,408233403;2,877930612;93,5;110,5;105,5;166;102;135,75;99,5;138,25;1,3028;1,4029;1,7268;0,1233;0,1446;0,3589;0,4671;0,6564;0,6631;0,8393;0,8545;1,3623;0,45;173,49;0,456591158;0,325119603;0,218289239;8,21832028;3,236336881;1,215167884;2,664448259;1,882015952;0,447876421;13,232575;10,279825;2,8402875;2,95145;4,4648375;4,5111625;4,6918375;1,589672026;1,53045;1,5745625;1,6389125;0,046775;0,13815;0,4947375;0,249225;0,3745375;0,7455875;0,8686375;0,84875;1,4699;0,4135
ANN0816;ANN0816;24;0,857142857;28;52;37,4;177,1;7,379166667;51;43;5;23;21,56233995;6,095;41,736;6,848071901;3,735422134;4,376362614;1,605882125;12,12369482;2,795018994;3,25599531;22,33333333;3;4;1;531,471;10973,0748;88,9;117,856;132,334;149,606;163,3474;1,385991379;3,340653061;96;42;100;64;69;82;98;53;1,2694;1,4886;1,3906;0,1132;0,1333;0,3997;0,462;0,6878;0,7007;0,8841;0,8803;1,3642;0,4254;168,897;0,465372387;0,307530625;0,227096988;6,335647217;2,417094155;0,892052874;2,66164213;1,919375717;0,589579295;13,7669625;10,933675;2,8561875;2,9950875;4,822025;4,8498125;4,9870625;1,665080736;1,619525;1,6885375;1,7277625;0,0533625;0,1600625;0,459925;0,2621625;0,371525;0,7534375;0,85505;0,8675875;1,5937875;0,4011
ANN0817;ANN0817;21;0,807692308;26;53;57,3;167,1;7,957142857;66;48;11;19;18,32179749;5,928;44,348;7,481575588;5,059751633;5,946625304;1,783520621;16,3379752;3,379523565;3,25389836;21,33333333;2;4;1;521,8955;9499,852;83,82;97,536;134,366;154,686;173,0546;1,774263862;3,754285714;41;90;61;124;65,5;92,5;51;107;1,5859;1,603;1,9246;0,0946;0,1748;0,3703;0,4448;0,6864;0,6941;0,8884;0,8866;1,5985;0,4058;181,943;0,448651501;0,31203179;0,239316709;10,50474955;4,333365069;1,112370735;3,941959063;1,568500186;0,482545187;13,9913375;11,0148875;2,67495;2,815175;5,0800125;5,113075;5,21975;1,854147611;1,817825;1,90085;1,9378875;0,0574625;0,1939125;0,4839875;0,3080625;0,348925;0,7552875;0,87975;0,84785;1,813625;0,4148625
ANN0818;ANN0818;22;0,846153846;26;51;34,3;90,3;4,104545455;37;28;10;18;25,99911019;5,983;41,658;6,962701209;3,826076728;4,125032344;1,742338614;11,89003337;2,383937045;3,107436367;19;0;3;0;578,5618;12812,3615;88,9;120,65;154,686;168,402;195,2829;1,618590137;3,14882449;68;52;86;59;60;72,5;77;55,5;1,3958;1,74;1,8959;0,1106;0,1574;0,4044;0,5688;0,7711;0,6767;0,855;0,825;1,4834;0,4649;162,9;0,471896869;0,307697974;0,220405157;7,398195587;3,26188756;1,116124005;2,915705916;1,607371992;0,517187296;13,350275;9,9930625;2,668325;2,7437125;4,7188625;4,7757375;4,9466;1,802885689;1,75595;1,784625;1,8616375;0,0477125;0,1784125;0,46865;0,2395125;0,4089375;0,7296125;0,857075;0,8421875;1,6419;0,414575
ANN0819;ANN0819;25;0,892857143;28;55;41;167,6;6,704;46;43;16;22;NA;NA;NA;NA;4,250341863;3,778948958;2,030968504;11,06368333;1,870527054;2,60997686;21,33333333;1;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,414758622;2,932856258;1,170028885;2,509570966;1,494590935;0,572922022;10,9057125;6,8163;2,1960625;2,32175;3,84175;3,8933375;4,0385375;1,739436847;1,6800375;1,75195;1,82525;0,0571375;0,1703625;0,45695;0,297175;0,34035;0,7622375;0,872525;0,86845;1,684725;0,3984125
ANN0820;ANN0820;23;0,58974359;39;68;40;190,4;8,27826087;51;35;10;25;21,54431384;4,783;42,918;8,972452973;4,294579337;5,339130161;1,775552838;14,72289801;2,984237439;3,432826683;22,33333333;1;3;1;574,0875;12967,5225;95,758;124,46;158,242;168,402;180,6851;1,45175237;3,731755102;52;43;44;53;47,5;48,5;48;48;1,3531;1,6525;1,8819;0,1167;0,1519;0,3619;0,5425;0,7198;0,7704;0,887;0,9156;1,5839;0,3583;166,745;0,455312003;0,313016882;0,231671115;9,093383037;2,909124675;1,063802812;2,763701868;1,61730359;0,47150489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
