Species,Phenotypes,Experiment,Link
Helianthus petiolaris subsp. petiolaris,Stem diameter final before 1st node,H. petiolaris petiolaris Stem diameter final before 1st node,https://easygwas.ethz.ch/gwas/results/manhattan/view/8180c4c5-ac85-49e9-9a41-2afcbdfef943/
Helianthus petiolaris subsp. petiolaris,Peduncle length of first flower,H. petiolaris petiolaris Peduncle lenght of first flower,https://easygwas.ethz.ch/gwas/results/manhattan/view/2cc54644-452c-47fa-9a3b-6c7b442bdd78/
Helianthus petiolaris subsp. petiolaris,Internode length,H. petiolaris petiolaris Internode length,https://easygwas.ethz.ch/gwas/results/manhattan/view/bc4f9fdd-d7e3-4256-b008-b769a74c4cad/
Helianthus petiolaris subsp. petiolaris,Leaf total C,H. petiolaris petiolaris Leaf total C,https://easygwas.ethz.ch/gwas/results/manhattan/view/79ee7997-63ab-4bfb-8f50-71a069d6e31c/
Helianthus petiolaris subsp. petiolaris,Ligule LW ratio,H. petiolaris petiolaris Ligule LW ratio,https://easygwas.ethz.ch/gwas/results/manhattan/view/d0cf034f-a424-4a2d-a89b-69d976c57dd5/
Helianthus petiolaris subsp. petiolaris,Leaf total N,H. petiolaris petiolaris Leaf total N,https://easygwas.ethz.ch/gwas/results/manhattan/view/2be7a716-dedd-4991-8e39-370f1b70e6b0/
Helianthus petiolaris subsp. petiolaris,Primary branches,H. petiolaris petiolaris Primary branches,https://easygwas.ethz.ch/gwas/results/manhattan/view/dd19dc22-59a0-4092-be76-33b1cad26e81/
Helianthus petiolaris subsp. petiolaris,Ligule length,H. petiolaris petiolaris Ligule length,https://easygwas.ethz.ch/gwas/results/manhattan/view/ae39b262-d22b-4625-ae5b-bc6dad522505/
Helianthus petiolaris subsp. petiolaris,SLA,H. petiolaris petiolaris SLA,https://easygwas.ethz.ch/gwas/results/manhattan/view/97d31978-2be1-4231-afcc-cdad52f1fdd5/
Helianthus petiolaris subsp. petiolaris,Disk diameter,H. petiolaris petiolaris Disk diameter,https://easygwas.ethz.ch/gwas/results/manhattan/view/b922dfe0-1d63-445c-aaa8-c62dfe7a1b3e/
Helianthus petiolaris subsp. petiolaris,Distance of first branching from ground,H. petiolaris petiolaris Distance of first branching from ground,https://easygwas.ethz.ch/gwas/results/manhattan/view/3eaebeb8-fb61-4285-9053-fa2597d8f256/
Helianthus petiolaris subsp. petiolaris,Ligule width,H. petiolaris petiolaris Ligule width,https://easygwas.ethz.ch/gwas/results/manhattan/view/d229fdb4-550d-43d6-a9e6-50aa0ff9d79b/
Helianthus petiolaris subsp. petiolaris,Flower head diameter,H. petiolaris petiolaris Flower head diameter,https://easygwas.ethz.ch/gwas/results/manhattan/view/d85526fe-0b55-41b4-afbc-25c93af73ad7/
Helianthus petiolaris subsp. petiolaris,Leaf width mid-height,H. petiolaris petiolaris Leaf width mid-height,https://easygwas.ethz.ch/gwas/results/manhattan/view/1c1c766d-1043-408c-9c97-25bbb47681b1/
Helianthus petiolaris subsp. petiolaris,Ligules number,H. petiolaris petiolaris Ligules number,https://easygwas.ethz.ch/gwas/results/manhattan/view/adc527df-3e66-48c3-994c-241ea90088ee/
Helianthus petiolaris subsp. petiolaris,Leaf maximum height,H. petiolaris petiolaris Leaf maximum height,https://easygwas.ethz.ch/gwas/results/manhattan/view/3b9f7796-888e-44d7-8045-f612fe4ee22f/
Helianthus petiolaris subsp. petiolaris,Leaf maximum width,H. petiolaris petiolaris Leaf maximum width,https://easygwas.ethz.ch/gwas/results/manhattan/view/8a87f5ca-0bd4-4961-93a5-c01032c4ba05/
Helianthus petiolaris subsp. petiolaris,Leaf height mid-width,H. petiolaris petiolaris Leaf height mid-width,https://easygwas.ethz.ch/gwas/results/manhattan/view/238e23b7-3fdc-453a-bbca-0e38188ac9bd/
Helianthus petiolaris subsp. petiolaris,Leaf curvedHeight maxWidth,H. petiolaris petiolaris Leaf curvedHeight maxWidth,https://easygwas.ethz.ch/gwas/results/manhattan/view/986e2bcc-c429-4129-9a85-345692294a65/
Helianthus petiolaris subsp. petiolaris,Leaf curved height,H. petiolaris petiolaris Leaf curved height,https://easygwas.ethz.ch/gwas/results/manhattan/view/8d5e5d9c-a736-4033-9ccf-9c9b3cdae6b2/
Helianthus petiolaris subsp. petiolaris,Leaf perimeter,H. petiolaris petiolaris Leaf perimeter,https://easygwas.ethz.ch/gwas/results/manhattan/view/55c732ab-3ab2-40a3-bc5d-a536716e2fdd/
Helianthus petiolaris subsp. petiolaris,Flower FHDD ratio,H. petiolaris petiolaris Flower FHDD ratio,https://easygwas.ethz.ch/gwas/results/manhattan/view/f5e33fb9-d895-4601-a333-6f1d37ab81df/
Helianthus petiolaris subsp. petiolaris,Leaf area,H. petiolaris petiolaris Leaf area,https://easygwas.ethz.ch/gwas/results/manhattan/view/c4bf2da5-f9e9-452e-a2ab-e45d36e0c6dc/
Helianthus petiolaris subsp. petiolaris,Leaf ellipsoid,H. petiolaris petiolaris Leaf ellipsoid,https://easygwas.ethz.ch/gwas/results/manhattan/view/6dde8927-c132-4b5a-a4fa-9cb0178d9d32/
