Plant ID;Genotype ID;TLN;LIR;Days to budding;DTF;Stem diameter at flowering;Plant height at flowering;Peduncle length of first flower;Internode length;Stem diameter final before 1st node;Stem diameter final after 5th node;Distance of first branching from ground;Primary branches;SLA;Leaf total N;Leaf total C;Leaf C N ratio;Disk diameter;Ligule length;Ligule width;Flower head diameter;Ligule LW ratio;Flower FHDD ratio;Ligules number;Leaf perimeter;Leaf area;Leaf width mid-height;Leaf maximum width;Leaf height mid-width;Leaf maximum height;Leaf curved height;Leaf curvedHeight maxWidth;Leaf shape index external I;Leaf shape index external II;Leaf curved shape index;Leaf ellipsoid;Leaf circular;Leaf rectangular;Leaf obovoid;Leaf width widest pos;Leaf eccentricity;Leaf proximal eccentricity;Leaf distal eccentricity;Leaf shape index internal;Leaf eccentricity area index;Total RGB;RGB proportion green;RGB proportion red;RGB proportion blue;Seed perimeter;Seed area;Seed width mid height;Seed maximum width;Seed height mid width;Seed maximum height;Seed curved height;Seed HW ratio;Seed shape index external I;Seed shape index external II;Seed curved shape index;Seed ellipsoid;Seed circular;Seed rectangular;Seed ovoid;Seed width widest pos;Seed eccentricity;Seed proximal eccentricity;Seed distal eccentricity;Seed shape index internal;Seed eccentricity area index
PET0311;PET0311;NA;NA;26;NA;NA;NA;NA;NA;57,4;30,3;1,5;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PET0312;PET0312;17;0,62962963;27;48;21,8;86,2;46,5;4,31;30,4;22;1,7;16;26,15847323;6,626229014;41,15677088;6,211190526;2,537265562;3,57163226;1,100851658;9,729842084;3,281663557;3,914868254;14,33333333;278,6643;3957,777;55,2027;60,3673;97,79;99,822;102,2819;1,694326233;1,6536;1,7715;1,7843;0,0655;0,1663;0,3656;0,2492;0,5954;0,7827;0,8882;0,8874;1,7731;0,318;172,361;0,486293303;0,323106735;0,190599962;11,0469;6,0301375;1,7409625;1,9010375;4,155275;4,206875;4,375325;2,301545866;2,2160125;2,390525;2,480025;0,073175;0,2564125;0,4672625;0,3809625;0,2946375;0,733075;0,8823;0,8247375;2,2101375;0,4417
PET0313;PET0313;18;0,514285714;35;NA;17,9;87,9;46;5,86;46,8;24;0,5;22;22,63969429;6,4467534;40,95699458;6,353119476;3,311283581;4,270223435;1,594388903;11,60695365;2,679986096;3,504921847;19;281,9838;4124,9523;52,4933;64,1773;95,758;97,282;101,7781;1,585889403;1,5158;1,8242;1,8606;0,086;0,1574;0,3755;0,4816;0,7415;0,7875;0,8977;0,8924;1,8226;0,388;190,936;0,458378724;0,326009762;0,215611514;10,9515875;6,360425;1,8388625;2,005525;4,155275;4,1962875;4,3547625;2,171382805;2,09355;2,2616375;2,336575;0,069825;0,240675;0,4616375;0,364325;0,2975;0,76265;0,8884625;0,8523;2,1932625;0,425525
PET0314;PET0314;24;0,685714286;35;59;28,3;151,9;NA;7,233333333;33,1;26,1;1;25;19,59575697;5,919820608;41,7258446;7,04849815;3,198467134;4,320363885;1,627617594;11,25643335;2,661103493;3,526979631;17;332,3081;4918,535;50,4613;69,4267;111,5907;117,2633;115,016;1,656653708;1,689;2,2114;2,2558;0,1074;0,2177;0,323;0,4217;0,6932;0,5853;0,6818;0,8747;1,5341;0,5104;168,427;0,455206113;0,317573786;0,227220101;11,3259875;6,9705125;2,1299;2,2846875;3,9938875;4,0573875;4,2245;1,849049378;1,778125;1,8782625;1,952475;0,063475;0,189625;0,4711;0,325025;0,34115;0,7072875;0,88085;0,7951125;1,6996375;0,4540625
PET0315;PET0315;19;0,527777778;36;57;18,2;106;55,5;7,066666667;24,2;22,6;0,5;19;24,00273502;5,31103743;40,22196988;7,573279309;2,843393085;3,762996179;1,328274939;10,26278519;2,832379297;3,615314563;18;246,091;2844,3241;39,5393;51,3927;89,4927;89,8313;90,6785;1,764423741;1,7479;2,2634;2,2739;0,0982;0,214;0,3363;0,4625;0,753;0,7226;0,8021;0,8876;1,9845;0,4147;179,466;0,477527777;0,326451807;0,196020416;9,7102125;5,0847125;1,6721875;1,784625;3,57055;3,5943625;3,7271;2,088449954;2,017125;2,138325;2,2393;0,065975;0,2273875;0,5178625;0,36405;0,3163125;0,7575375;0,8897375;0,8416875;2,043275;0,4423125
PET0316;PET0316;24;0,774193548;31;58;19;98,5;11,5;5,184210526;20,7;17,8;0;23;26,33138679;6,285141259;41,12762949;6,543628503;2,727813701;2,824904634;0,965729296;8,151824411;2,920215179;2,985759039;17,33333333;239,5139;2791,127;40,2167;47,9213;88,138;88,9;89,4658;1,866931824;1,8551;2,1916;2,2608;0,0844;0,2215;0,3612;0,4013;0,6819;0,7931;0,9024;0,9173;2,2011;0,3656;198,86;0,460067384;0,330579302;0,209353314;9,8224375;4,7582875;1,452575;1,61;3,8113375;3,8325125;3,9767875;2,470054348;2,3875;2,632275;2,736125;0,0769875;0,2790125;0,4859125;0,4129375;0,2674375;0,7615875;0,89035;0,846725;2,5297;0,4452625
PET0317;PET0317;17;0,62962963;27;46;22,3;83,7;42;5,23125;52,4;25,4;0,5;17;22,64322597;6,598511835;39,46970024;5,981606342;2,973628638;4,711876134;1,573002772;11,99696355;3,008385707;4,059279221;14,33333333;317,5931;4569,403;53,7633;64,6853;110,1513;119,2953;120,6397;1,865024975;1,8442;2,0488;2,2398;0,0988;0,222;0,3043;0,3183;0,6866;0,6648;0,766;0,8611;1,7931;0,398;180,673;0,478920481;0,327580767;0,193498752;11,3424;6,9219125;1,9169;2,079625;4,2730375;4,2994875;4,45945;2,144352948;2,0692;2,2306875;2,30875;0,0692625;0,236875;0,492325;0,390625;0,280975;0,7866125;0,8885375;0,8781;2,214325;0,415775
PET0318;PET0318;18;0,620689655;29;50;33,5;127,2;42;7,95;39;28;0;18;20,43118113;6,704420873;40,80810402;6,086745566;2,658925717;3,579694786;1,194470764;9,564331309;3,005364939;3,61236727;16,33333333;353,494;5651,2647;63,754;75,5227;123,19;129,032;128,1409;1,696720324;1,7085;1,9323;1,9967;0,0973;0,1978;0,3018;0,3301;0,6196;0,6238;0,7137;0,8837;1,489;0,3962;188,949;0,438097053;0,322626741;0,239276207;12,50455;7,8284625;1,93145;2,106075;4,841875;4,8895;5,0119625;2,379764491;2,3260875;2,5108875;2,5402875;0,073325;0,2652625;0,4745375;0,339625;0,291325;0,738425;0,887325;0,8245625;2,3335;0,4401625
PET0319;PET0319;21;0,636363636;33;58;18;94,5;34;4,973684211;36,1;28;0;19;19,58516544;6,556243961;39,99064849;6,099627886;2,623495931;3,53876079;1,385580618;9,368614116;2,557675295;3,595028813;15;352,6978;5327,165;49,1913;66,3787;121,4967;130,9793;130,9583;1,972896426;1,9732;2,4699;2,6099;0,1038;0,2599;0,324;0,4197;0,7514;0,555;0,6535;0,8711;1,6693;0,5339;220,896;0,467935137;0,337543459;0,194521404;11,8179125;7,0609125;1,8335625;2,01745;4,5428875;4,5654;4,7210625;2,340113757;2,2676;2,4827625;2,5398625;0,0725125;0,261975;0,48685;0,3867875;0,2807125;0,7656125;0,887075;0,8542625;2,40515;0,43525
PET0320;PET0320;21;0,636363636;33;56;29,2;129,3;48,5;6,157142857;51;32,4;1,3;23;20,17920161;6,072894839;41,66105093;6,860163405;3,274928025;3,462858286;1,051543077;10,05807712;3,295973088;3,075819115;21,33333333;324,1419;4754,2199;54,0173;68,834;108,1193;112,6913;114,6511;1,665617282;1,6371;2,0016;2,001;0,1077;0,205;0,3271;0,4882;0,7359;0,618;0,7092;0,8782;1,4838;0,4607;187,363;0,459882688;0,322929287;0,217188025;11,0699;6,4420125;1,86135;2,03995;4,1790875;4,284925;4,4197;2,16657271;2,1040625;2,2488875;2,2641375;0,0707375;0,2411625;0,448225;0,3292625;0,29995;0,764325;0,898;0,863825;2,223275;0,4138875
